product_name,handle,product_url,base_price,main_image,collection
Tokyo Black - Day and Night Blinds,tokyo-black-day-and-night-blinds,https://online-blinds-express.myshopify.com/products/tokyo-black-day-and-night-blinds,136.52,https://cdn.shopify.com/s/files/1/0822/9627/5263/files/Tokyo-Black---Day-and-Night-Blinds1.webp?v=1777740276,Black Color; Smart Products Filter Index - Do not delete; Day and Night Blinds
Plain Soft White Day and Night Blind,plain-soft-white-day-and-night-blind,https://online-blinds-express.myshopify.com/products/plain-soft-white-day-and-night-blind,113.72,https://cdn.shopify.com/s/files/1/0822/9627/5263/files/Plain-Soft-White-Day-And-Night-Blinds1_eb91e3f4-9325-490d-ace1-c66a03aefaec.jpg?v=1776710831,White Colour Window Blinds; Smart Products Filter Index - Do not delete; Day and Night Blinds
Alabama Linen Vertical Blind,alabama-linen-vertical-blind,https://online-blinds-express.myshopify.com/products/alabama-linen-vertical-blind,48.88,https://cdn.shopify.com/s/files/1/0822/9627/5263/files/AlabamaLinenVerticalBlind_fc7173d4-08aa-4075-bcf7-6bc18510854a.jpg?v=1776710366,Home page; Smart Products Filter Index - Do not delete; Vertical Blinds
Aqualush Beige Vertical Blind,aqualush-beige-vertical-blind,https://online-blinds-express.myshopify.com/products/aqualush-beige-vertical-blind,56.12,https://cdn.shopify.com/s/files/1/0822/9627/5263/files/AQUALUSHBEIGE_1_1800x1800_ec5a0832-a9b3-494d-8cdb-bd501a73ed14.jpg?v=1776710367,Brown Colour Blinds; Beige Color; Smart Products Filter Index - Do not delete; Vertical Blinds
Aqualush Black Vertical Blind,aqualush-black-vertical-blind,https://online-blinds-express.myshopify.com/products/aqualush-black-vertical-blind,56.12,https://cdn.shopify.com/s/files/1/0822/9627/5263/files/AqualushBlackVerticalBlind_81868bff-1893-49d6-ac1c-72fd11f59615.jpg?v=1776710371,Black Color; Smart Products Filter Index - Do not delete; Vertical Blinds
Aqualush Carmine Vertical Blind,aqualush-carmine-vertical-blind,https://online-blinds-express.myshopify.com/products/aqualush-carmine-vertical-blind,56.12,https://cdn.shopify.com/s/files/1/0822/9627/5263/files/AqualushCarmineVerticalBlind_6fac90e4-3fa2-467a-8ab5-054a83e88d1f.jpg?v=1776710372,Smart Products Filter Index - Do not delete; Vertical Blinds
Aqualush Cream Vertical Blind,aqualush-cream-vertical-blind,https://online-blinds-express.myshopify.com/products/aqualush-cream-vertical-blind,56.12,https://cdn.shopify.com/s/files/1/0822/9627/5263/files/AqualushCreamVerticalBlind_ca1f011a-6284-48a3-9e8f-4417a6251660.jpg?v=1776710374,White Colour Window Blinds; Smart Products Filter Index - Do not delete; Vertical Blinds
Aqualush Navy Blue Vertical Blind,aqualush-navy-blue-vertical-blind,https://online-blinds-express.myshopify.com/products/aqualush-navy-blue-vertical-blind,56.12,https://cdn.shopify.com/s/files/1/0822/9627/5263/files/AQUALUSHNAVYBLUE_1_1800x1800_e8c87797-1bfc-4edc-8a7e-0c7c58546168.jpg?v=1776710377,Blue Colour Blinds; Smart Products Filter Index - Do not delete; Vertical Blinds
Aqualush Red Vertical Blind,aqualush-red-vertical-blind,https://online-blinds-express.myshopify.com/products/aqualush-red-vertical-blind,56.12,https://cdn.shopify.com/s/files/1/0822/9627/5263/files/AqualushRedVerticalBlind_c84e3e77-29a7-44e5-8e10-304e2144a047.jpg?v=1776710379,Red Color; Smart Products Filter Index - Do not delete; Vertical Blinds
Aqualush Sky Blue Vertical Blind,aqualush-sky-blue-vertical-blind,https://online-blinds-express.myshopify.com/products/aqualush-sky-blue-vertical-blind,56.12,https://cdn.shopify.com/s/files/1/0822/9627/5263/files/AQUALUSHSKYBLUE_1_1800x1800_651f5e9a-6be7-4afa-bb59-916cb7290f13.jpg?v=1776710381,Blue Colour Blinds; Smart Products Filter Index - Do not delete; Vertical Blinds
