Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Price Band Name (product.metafields.custom.price_band_name),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
alabama-linen-vertical-blind,Alabama Linen Vertical Blind,<p>Alabama Linen</p>,Online Blinds,Home & Garden > Decor > Window Treatments > Window Blinds & Shades > Blinds,Blinds,"Light Filtering, Vertical Blinds",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0984/2452/1048/files/AlabamaLinenVerticalBlind_fc7173d4-08aa-4075-bcf7-6bc18510854a.jpg?v=1775562278,1,"",false,,,Vertical Blind - Band B,,lb,,,active
alabama-linen-vertical-blind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0984/2452/1048/files/ALABAMALINEN_1_1800x1800_ea148b7d-4516-4cc4-ab6f-7280dd367f05.jpg?v=1775562278,2,"",,,,,,,,,
alabama-linen-vertical-blind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0984/2452/1048/files/classic_1.jpg?v=1775562278,3,"",,,,,,,,,
alabama-linen-vertical-blind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0984/2452/1048/files/platinum_1.jpg?v=1775562278,4,"",,,,,,,,,
alabama-linen-vertical-blind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0984/2452/1048/files/range-platinum-new_ae184713-0622-4ac1-b325-8d4c12751ef3.jpg?v=1775562277,5,"",,,,,,,,,
aqualush-beige-vertical-blind,Aqualush Beige Vertical Blind,<p>Aqualush Beige</p>,Online Blinds,Home & Garden > Decor > Window Treatments > Window Blinds & Shades > Blinds,Blinds,"Beige, Blackout, Brown, Vertical Blinds, Waterproof",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0984/2452/1048/files/AQUALUSHBEIGE_1_1800x1800_ec5a0832-a9b3-494d-8cdb-bd501a73ed14.jpg?v=1775562276,1,"",false,,,Vertical Blind - Band D,,lb,,,active
aqualush-beige-vertical-blind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0984/2452/1048/files/AqualushBeigeVerticalBlind_5ed42009-58a2-4bfc-9ef0-a6c73e0da4c6.jpg?v=1775562276,2,"",,,,,,,,,
aqualush-beige-vertical-blind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0984/2452/1048/files/AQUALUSHBEIGE.jpg?v=1775562277,3,"",,,,,,,,,
aqualush-beige-vertical-blind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0984/2452/1048/files/classic_1_9d2e782d-4bce-43ca-a5d0-3b7b7169fe64.jpg?v=1775562276,4,"",,,,,,,,,
aqualush-beige-vertical-blind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0984/2452/1048/files/platinum_1_895d8a14-0442-48fa-98fb-1ff067faffdc.jpg?v=1775562277,5,"",,,,,,,,,
